domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup:v_ApplyEyeMakeup_g01_c01,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c01.avi,165x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.08116578310728073,0.07593648880720139,6.442732515951377,17.806753648986277,13.290553718803894,25.36228679975862,0.22451194426060117,effective,14985,14990,0.24386669998057187,6.875508700031787,ok,split=train; action=ApplyEyeMakeup; raw_frames=165; sampled_frames=24; link_refresh_rmse=0.079094701; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g01_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c03.avi,260x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.07244206219911575,0.0671292096376419,7.333933353347714,21.421221436679943,20.727445470045065,3.2387320615009956,0.238557384623542,effective,14985,14990,0.2351875000167638,6.965866799931973,ok,split=train; action=ApplyEyeMakeup; raw_frames=260; sampled_frames=24; link_refresh_rmse=0.07047952; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g01_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c05.avi,297x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.0675172209739685,0.06311381608247757,6.521898899228515,21.379821558432813,18.49587068773287,13.489125074397212,0.19041238513213776,effective,14985,14990,0.21092130010947585,6.88730589998886,ok,split=train; action=ApplyEyeMakeup; raw_frames=297; sampled_frames=24; link_refresh_rmse=0.066053212; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup:v_ApplyEyeMakeup_g01_c06,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c06.avi,123x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06958605349063873,0.06386008113622665,8.228620631837359,24.079858033572357,24.264273347343828,-0.7658488414439864,0.2568799680318767,effective,14985,14990,0.2286290000192821,6.835862700128928,ok,split=train; action=ApplyEyeMakeup; raw_frames=123; sampled_frames=24; link_refresh_rmse=0.067558222; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g02_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g02_c02.avi,147x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.04815708473324776,0.04737180843949318,1.6306557967625916,8.17814060409442,7.863362767265811,3.8490147341195584,0.029745479635189306,boundary,14985,14990,0.21382860001176596,6.855465199798346,ok,split=train; action=ApplyEyeMakeup; raw_frames=147; sampled_frames=24; link_refresh_rmse=0.047992449; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g02_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g02_c03.avi,217x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.052131325006484985,0.05174405500292778,0.7428738930173555,8.763173796353534,8.56721559037741,2.236155650110065,0.02095123475293504,boundary,14985,14990,0.19882539985701442,6.821557099930942,ok,split=train; action=ApplyEyeMakeup; raw_frames=217; sampled_frames=24; link_refresh_rmse=0.052005731; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g03_c01,ApplyEyeMakeup:v_ApplyEyeMakeup_g03_c01,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c01.avi,210x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.05534610524773598,0.053502194583415985,3.3315996781822697,6.094132156106148,3.5923586858529175,41.05216963085587,0.10134731127903134,effective,14985,14990,0.26591079984791577,6.6229481000918895,ok,split=train; action=ApplyEyeMakeup; raw_frames=210; sampled_frames=24; link_refresh_rmse=0.054704078; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g03_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g03_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c02.avi,135x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.04447252303361893,0.043251100927591324,2.746464609404488,5.301560768413234,3.571699914542148,32.629275216038614,0.0745961942764107,moderate,14985,14990,0.2577285999432206,6.605983600020409,ok,split=train; action=ApplyEyeMakeup; raw_frames=135; sampled_frames=24; link_refresh_rmse=0.044092219; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g03_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g03_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c03.avi,116x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.05518805608153343,0.053605031222105026,2.868419313573366,4.035295731599602,2.931890025641831,27.343862243285397,0.11675325166878861,effective,14985,14990,0.27503599994815886,6.5232291999273,ok,split=train; action=ApplyEyeMakeup; raw_frames=116; sampled_frames=24; link_refresh_rmse=0.054451197; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g03_c04,ApplyEyeMakeup:v_ApplyEyeMakeup_g03_c04,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c04.avi,109x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.05261465162038803,0.05113396793603897,2.8142041023707915,4.222317521273358,3.107284727810692,26.40807537199137,0.1068627588358609,effective,14985,14990,0.2070092000067234,6.694126500049606,ok,split=train; action=ApplyEyeMakeup; raw_frames=109; sampled_frames=24; link_refresh_rmse=0.051971298; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g03_c06,ApplyEyeMakeup:v_ApplyEyeMakeup_g03_c06,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c06.avi,153x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.054774098098278046,0.05394890159368515,1.5065451248732429,4.4202943420455885,3.541235922698881,19.886875201616178,0.05835907001869632,moderate,14985,14990,0.19700019992887974,6.609082600101829,ok,split=train; action=ApplyEyeMakeup; raw_frames=153; sampled_frames=24; link_refresh_rmse=0.054407313; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g04_c01,ApplyEyeMakeup:v_ApplyEyeMakeup_g04_c01,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c01.avi,127x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.07051638513803482,0.0673917904496193,4.431019375566654,7.022644126035084,7.127231042819916,-1.4892811725585786,0.1614644846397621,effective,14985,14990,0.19666039990261197,6.678264799993485,ok,split=train; action=ApplyEyeMakeup; raw_frames=127; sampled_frames=24; link_refresh_rmse=0.069217645; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g04_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g04_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c02.avi,133x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06976457685232162,0.06708788126707077,3.8367545623001647,7.194309233810652,6.96611323528607,3.171895884766029,0.15136658263309252,effective,14985,14990,0.2736814001109451,6.68128570006229,ok,split=train; action=ApplyEyeMakeup; raw_frames=133; sampled_frames=24; link_refresh_rmse=0.068559341; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g04_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g04_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c03.avi,115x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.04705028608441353,0.04250562936067581,9.659147907377415,5.492684509389826,4.728710716980739,13.908932710463567,0.1975470369686848,effective,14985,14990,0.26243180013261735,6.67998840007931,ok,split=train; action=ApplyEyeMakeup; raw_frames=115; sampled_frames=24; link_refresh_rmse=0.045992278; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g04_c04,ApplyEyeMakeup:v_ApplyEyeMakeup_g04_c04,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c04.avi,182x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06326182186603546,0.06102193892002106,3.540655137560892,7.512882768954576,8.314133931354599,-10.665029483902325,0.12090039979504758,effective,14985,14990,0.22304299985989928,6.68928930000402,ok,split=train; action=ApplyEyeMakeup; raw_frames=182; sampled_frames=24; link_refresh_rmse=0.06238737; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g04_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g04_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c05.avi,107x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.05738851800560951,0.054807767271995544,4.496980969889672,6.9653805565636,7.28254564213582,-4.553449492050358,0.12812383120953955,effective,14985,14990,0.24071100004948676,6.706636799965054,ok,split=train; action=ApplyEyeMakeup; raw_frames=107; sampled_frames=24; link_refresh_rmse=0.056548204; p_max=4
